nPumps,size,earnings,popped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,imageFile,maxPumps,participant,gender (m/f),age,session,date,expName,psychopyVersion,frameRate,doneKey.keys,doneKey.rt
33,0.58,0,TRUE,1,0,20,5,1,19,blueBalloon.png,32,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,9,1,19,blueBalloon.png,56,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
15,0.31,0,TRUE,1,0,20,2,1,19,blueBalloon.png,14,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
3,0.13,0,TRUE,1,0,20,0,1,19,blueBalloon.png,2,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
31,0.565,1.55,FALSE,1,0,20,15,1,19,blueBalloon.png,92,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
10,0.25,0.5,FALSE,1,0,20,10,1,19,blueBalloon.png,62,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,7,1,19,blueBalloon.png,44,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
23,0.445,1.15,FALSE,1,0,20,13,1,19,blueBalloon.png,80,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
26,0.49,1.3,FALSE,1,0,20,11,1,19,blueBalloon.png,68,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
32,0.58,1.6,FALSE,1,0,20,17,1,19,blueBalloon.png,104,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
9,0.22,0,TRUE,1,0,20,1,1,19,blueBalloon.png,8,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
1,0.115,0.05,FALSE,1,0,20,6,1,19,blueBalloon.png,38,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
0,0.1,0,FALSE,1,0,20,4,1,19,blueBalloon.png,26,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
15,0.325,0.75,FALSE,1,0,20,19,1,19,blueBalloon.png,116,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,18,1,19,blueBalloon.png,110,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
19,0.385,0.95,FALSE,1,0,20,16,1,19,blueBalloon.png,98,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,8,1,19,blueBalloon.png,50,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
22,0.43,1.1,FALSE,1,0,20,12,1,19,blueBalloon.png,74,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
20,0.4,1,FALSE,1,0,20,3,1,19,blueBalloon.png,20,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
29,0.535,1.45,FALSE,1,0,20,14,1,19,blueBalloon.png,86,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,,
,,,,,,,,,,,,1,m,55,004,2020-09-13_18h22.12.823,bart,3.1.3,60,return,5.485000134
